,YLabel,Max,Min,Mean,SD,Variance,RMS,ZeroXings,TPeaks,TMax1,TMax2,TMax3,FPeaks,FMax1,FMax2,FMax3,PSD,RelativeAlpha,RelativeBeta,RelativeTheta,RelativeDelta
0,4,229,-281,-16.910112359550563,95.7109577103378,9160.58742583007,97.19330905902267,23,16,116.93572932827047,141.80050466583134,209.50806562072916,14,24.413605956198587,51.39370095505036,73.57048819919615,11593.06,0.09,0.64,0.01,0.23
1,1,513,-1716,28.1123595505618,471.8358226704569,222629.04355510685,472.6725592993597,8,13,435.32963372710367,504.7583472978039,463.5581403692279,15,143.64666694773135,193.99235970218595,350.68534245719644,265204.56,0.08,0.12,0.22,0.56
2,5,80,-126,-44.04494382022472,44.18638005426802,1952.4361823002148,62.38904758390664,12,14,33.13803698086541,66.8370007957298,53.441265480661734,15,18.284170012594327,20.965125048029453,26.96562846496974,1504.05,0.2,0.33,0.22,0.19
3,5,-22,-105,-68.91011235955057,15.923722991811928,253.56495391995983,70.72601034503391,0,20,-34.437840341086456,-31.303963840353106,-31.905171921698397,10,5.917626769481366,7.075046667979437,7.967486744306202,253.09,0.19,0.36,0.14,0.28
4,5,78,-103,-6.651685393258427,38.69300117406348,1497.148339856078,39.26058148355633,27,21,51.782890283836316,52.55564624942781,64.15518631590014,15,12.326107683311886,12.798365593791384,29.140550769841795,1004.99,0.11,0.35,0.13,0.21
5,5,122,-91,14.48876404494382,48.943011892191066,2395.418413079156,51.04255770069926,14,14,100.48190205190195,101.14532732492295,111.48424964672256,15,16.150346904129208,25.357640096697068,45.1547603889143,1994.97,0.31,0.22,0.04,0.23
6,4,141,-137,13.98876404494382,64.88329962619446,4209.842570382525,66.3741522724595,22,13,120.57557882263279,125.37916084330206,128.69913572286995,15,10.710064804268482,20.28969071008733,47.1760620718092,2689.77,0.64,0.26,0.05,0.04
7,2,39,-118,-32.54494382022472,37.104781821021504,1376.7648339856078,49.35522467021289,5,15,0.09704392765256252,22.06119120441237,35.324456867541926,12,11.466000471087487,21.15913066779417,42.218128228091686,1331.35,0.03,0.02,0.24,0.71
8,1,419,-400,-31.685393258426966,151.79880945082556,23042.87855068805,155.07044430396533,12,9,124.97544580450032,154.9811780660262,382.81855658333774,16,63.601247431778305,74.32933836927802,119.90315140771045,17557.42,0.06,0.06,0.81,0.07
9,4,72,-88,4.033707865168539,30.68925421795034,941.8303244539826,30.953208615513606,27,18,53.548006912287676,53.812623200288705,67.14909298414919,11,11.03445862981596,14.950134660736367,18.857244000775463,903.06,0.32,0.45,0.14,0.12
10,5,39,-141,-23.48314606741573,34.97466574586302,1223.227244034844,42.12701500531965,26,18,21.779492654422874,24.4873209940534,25.085717677895605,14,14.289739923274002,14.67990751959526,17.796377034289712,1144.87,0.21,0.51,0.17,0.07
11,1,839,-410,43.47752808988764,297.3865604712927,88438.76634894582,300.5479359399309,15,12,535.3877391638318,796.3209274369227,641.3942797138038,15,98.70014625925307,118.63443659874459,186.06388773448208,97858.52,0.14,0.09,0.37,0.32
12,3,103,-298,-59.95505617977528,81.93576685529574,6713.469890165379,101.52870850988597,10,18,34.147906724356965,48.410513945923995,96.0277175289718,19,25.11620591436518,25.543281471101313,67.76544986279127,5359.29,0.15,0.06,0.13,0.51
13,4,173,-163,-11.48314606741573,68.69172502369898,4718.553086731473,69.64492609183442,18,13,123.15834815342117,126.07641892012529,157.7248979176838,11,20.838016165103042,22.34485525995253,75.96377694502458,5454.37,0.7,0.14,0.03,0.06
14,2,36,-114,-24.94943820224719,33.94448085599866,1152.2277805832598,42.12721504195372,4,12,19.359484638158037,24.013415526555335,34.78182634938459,9,9.65704824425615,23.714822338351343,24.774622027507668,1540.92,0.1,0.06,0.49,0.34
15,3,80,-135,-12.376404494382022,53.27023437360122,2837.717870218405,54.68905976908879,7,8,64.74554974918456,77.74018514984274,76.19727896233587,17,13.892847758754234,26.8297844235335,44.87272991908298,2257.12,0.08,0.02,0.27,0.4
16,2,86,-29,30.758426966292134,26.310442703960227,692.2393952783739,40.47616860226646,6,12,62.310346827074945,77.51853087699646,85.02254241690511,6,9.177739282006087,12.26823298773117,14.755565905648924,607.4,0.07,0.02,0.18,0.6
17,3,69,-99,-1.595505617977528,35.10968978614284,1232.6903168791825,35.145923733146915,12,9,40.7372108006415,45.61875571373122,65.36708454032673,8,12.511756174650252,16.58821020384805,32.176910796106704,1505.09,0.14,0.02,0.78,0.05
18,4,89,-107,6.932584269662922,34.78175866770079,1209.7707360181792,35.46591970715207,30,17,57.45546134173725,65.04693374809887,83.44918195218085,12,16.280241822925632,19.699210369355026,19.964564435572402,1822.05,0.27,0.43,0.09,0.21
19,2,107,-236,-18.84269662921348,79.62473768343077,6340.098851155159,81.82387223430416,4,11,96.50745929639385,101.14178017560228,105.37140541772405,13,35.37660223830629,35.62178070747263,70.10259384601312,4886.0,0.07,0.03,0.35,0.58
20,1,763,-1215,24.634831460674157,558.6044472161769,312038.9284496906,559.1473896664336,10,6,690.2963085219867,691.3506287777495,708.4931397968732,16,158.29910772602796,219.9101092568318,590.1680004576,314549.99,0.2,0.08,0.74,0.03
21,2,80,-108,-20.853932584269664,34.79540540565334,1210.7202373437697,40.56607870589705,15,12,30.993117896128684,69.64940509215991,42.06545821498868,12,16.390639621303393,20.890470504002906,18.990233094262198,1149.43,0.34,0.07,0.08,0.34
22,1,200,-548,-67.46067415730337,139.06461647234963,19338.967554601695,154.5636118637228,6,12,52.116118222629105,90.30168033429149,193.26254768556356,17,50.761516590505074,93.20959715058966,106.57275356250192,10710.74,0.19,0.1,0.31,0.31
23,1,244,-322,10.314606741573034,137.32877760116273,18859.19315742961,137.71559196279455,14,10,174.48171890515295,187.34780506644836,241.51652959689386,13,50.543487345651556,66.18615350210231,134.31038174199904,17381.12,0.04,0.14,0.65,0.23
24,1,1162,-1015,45.758426966292134,434.63256218831503,188905.46411437955,437.03466424622314,21,13,763.8673624766996,1066.9305503638075,1006.9363570492899,18,205.6824046259951,270.1500027220137,232.44545647781095,168379.27,0.38,0.4,0.14,0.06
25,3,62,-19,23.825842696629213,20.41391917785448,416.728096199975,31.375131496210408,5,18,52.58862801931153,53.19983779642476,57.69575040112011,11,3.7549704737335357,10.449819187196303,17.081990043577356,497.65,0.04,0.04,0.08,0.77
26,5,7,-105,-50.252808988764045,23.80204216471154,566.537211210706,55.60469424852465,2,16,-13.689310437581138,-7.273217737747953,2.3618657006913395,10,6.344833033994979,7.0953005898932515,12.707222252382165,435.77,0.07,0.21,0.29,0.31
27,1,376,-521,-51.59550561797753,226.84079548585268,51456.74649665444,232.63456900604692,12,10,276.271981989473,312.17714119542154,352.06185365074515,13,53.57278135951877,85.90684888702658,251.23022534425692,49899.12,0.06,0.17,0.67,0.02
28,2,152,-151,-16.59550561797753,63.39234333327388,4018.589193283673,65.5286197016235,14,19,84.85961864754003,96.07656762863465,140.39654909646566,13,19.490090899529285,23.658154846677604,48.527573179976685,6484.56,0.1,0.04,0.13,0.68
29,2,84,-99,-15.691011235955056,38.67685235339305,1495.8989079661656,41.73855222181327,13,17,31.777748285334418,48.38107950725765,78.02942129378923,13,10.169612374884677,15.021723100155134,40.087680607603254,1792.24,0.03,0.04,0.13,0.47
30,1,644,-412,-4.46067415730337,175.52092971519053,30807.59676808485,175.57760216503263,11,10,258.26452681753443,621.3504801996189,265.29616985851226,14,83.92318911415221,96.43196307704328,119.38670186220118,16756.74,0.16,0.14,0.18,0.44
31,2,-1,-114,-46.20786516853933,27.216083829934103,740.7152190380006,53.62725074504482,0,13,-11.441148904135895,-11.235575840885465,-3.4047852178213676,8,8.088197968650482,14.195601560672593,18.650826575729983,807.67,0.13,0.04,0.34,0.37
32,4,121,-90,2.747191011235955,37.9603299434153,1440.9866494129526,38.05960730045922,17,13,54.132712157801095,80.07032189630164,110.86176139477604,13,17.723389699744722,20.557446658682938,20.889799519042455,1666.8,0.38,0.1,0.12,0.34
